DonationID,DonorID,Type,Subtype,Size,Condition_Donor,Condition_System,Season,Quantity,Location_City,Latitude,Longitude,Timestamp_Submitted,Timestamp_PickedUp,Timestamp_Delivered,Matched_NGO_ID,AdminDecision,Proof_Type,Proof_Evidence
DON00000001,D001626,dress,ethnic-dress,M,Gently Worn,Gently Worn,Summer,4,Nagpur,21.191997186977407,79.06778511652121,2024-12-25 21:52:06,2025-01-03 21:52:06,2025-01-08 21:52:06,NGO00201,AutoApproved,Geo,True
DON00000002,D000457,shirt,t-shirt,M,Gently Worn,Torn,All,7,Kanpur,26.409259780612665,80.30947687613661,2023-11-28 11:28:21,,,,AutoRejected,,True
DON00000003,D000652,saree,cotton-saree,L,Gently Worn,Gently Worn,Summer,2,Pune,18.566405827576475,73.83387937526237,2025-07-28 19:33:14,,,,AutoApproved,Geo,True
DON00000004,D001309,shirt,polo,L,New,New,Summer,143,Bengaluru,13.007119580619698,77.60231771953714,2024-01-27 07:28:08,,,,ManualApproved,Photo,True
DON00000005,D000731,shirt,t-shirt,L,New,New,Winter,5,Chennai,13.09602624111185,80.31346761591863,2025-08-17 09:16:59,2025-08-20 09:16:59,2025-08-21 09:16:59,NGO00432,AutoApproved,OTP,True
DON00000006,D000644,footwear,slippers,XL,Used,Used,All,10,Nagpur,21.115306172170282,79.07082135237474,2024-02-04 20:11:13,2024-02-07 20:11:13,2024-02-13 20:11:13,NGO00161,AutoApproved,Geo,True
DON00000007,D001538,footwear,shoes,M,Used,Used,Summer,1,Jaipur,26.933138924042947,75.83468779750041,2025-07-24 07:46:57,2025-07-29 07:46:57,2025-08-04 07:46:57,NGO00269,AutoApproved,QR,True
DON00000008,D001471,jacket,hoodie,L,Gently Worn,Torn,Winter,3,Ahmedabad,23.01880010189811,72.61787739192287,2024-07-22 18:09:11,2024-07-27 18:09:11,2024-07-31 18:09:11,NGO00374,AutoRejected,Geo,True
DON00000009,D000310,dress,ethnic-dress,S,Gently Worn,Gently Worn,All,7,Mumbai,19.048305830696293,72.89773889741818,2024-01-23 04:40:27,2024-01-26 04:40:27,,NGO00117,ManualApproved,OTP,True
DON00000010,D001239,footwear,shoes,XL,Used,Used,Summer,8,Jaipur,26.894497860598374,75.81299304331823,2024-02-28 11:47:51,2024-03-07 11:47:51,2024-03-12 11:47:51,NGO00276,AutoApproved,Geo,False
DON00000011,D000473,footwear,sandals,L,New,New,All,1,Ahmedabad,22.982614226754524,72.60603074827158,2024-12-16 03:24:41,2024-12-21 03:24:41,,NGO00309,AutoApproved,,True
DON00000012,D000474,blanket,woolen-blanket,XL,Used,Dirty,Summer,2,Hyderabad,17.388076411151147,78.4936199552139,2024-06-19 13:56:20,2024-06-22 13:56:20,,NGO00148,AutoRejected,Geo,True
DON00000013,D001066,footwear,sandals,M,Gently Worn,Gently Worn,Winter,7,Delhi,28.623688781061976,77.22981479951106,2025-05-17 20:05:39,2025-05-19 20:05:39,2025-05-21 20:05:39,NGO00135,AutoApproved,NGOReceipt,True
DON00000014,D001474,pants,shorts,XL,Gently Worn,Gently Worn,All,6,Kolkata,22.532180151660057,88.37582838608168,2025-03-08 10:53:35,2025-03-14 10:53:35,2025-03-17 10:53:35,NGO00176,AutoApproved,QR,
DON00000015,D001716,saree,silk-saree,XL,New,New,All,5,Indore,22.670616859106655,75.83740384208457,2024-09-07 07:32:13,2024-09-13 07:32:13,2024-09-19 07:32:13,NGO00359,AutoApproved,QR,False
DON00000016,D001411,blanket,woolen-blanket,L,Gently Worn,Gently Worn,Summer,4,Delhi,28.5892805005312,77.17106553518103,2024-05-28 10:22:35,2024-06-05 10:22:35,,NGO00093,AutoApproved,Photo,True
DON00000017,D000629,shirt,kurta,M,Used,Dirty,All,9,Kolkata,22.540703181181673,88.3361901873324,2024-09-05 00:26:21,,,,AutoRejected,QR,True
DON00000018,D000555,pants,track-pants,L,New,New,All,1,Delhi,28.594252246127155,77.16096465726882,2023-12-06 16:14:40,2023-12-10 16:14:40,2023-12-13 16:14:40,NGO00190,ManualApproved,Photo,True
DON00000019,D001484,saree,cotton-saree,XL,Used,Torn,Summer,2,Hyderabad,17.39048361346252,78.46267604221428,2023-10-04 18:18:21,2023-10-12 18:18:21,2023-10-18 18:18:21,NGO00465,AutoRejected,Geo,True
DON00000020,D001165,pants,jeans,XL,Gently Worn,Used,All,34,Pune,18.508153988541196,73.89138319917355,2024-10-26 01:08:08,,,,AutoApproved,QR,True
DON00000021,D001860,blanket,cotton-blanket,M,New,New,Winter,2,Thane,19.213594564687835,72.99138686920804,2025-04-01 21:49:41,2025-04-04 21:49:41,2025-04-07 21:49:41,NGO00019,AutoApproved,Photo,True
DON00000022,D001928,pants,jeans,XL,Gently Worn,Gently Worn,Winter,4,Chennai,13.125331913125146,80.30003846149874,2025-05-27 20:17:46,2025-05-31 20:17:46,,NGO00349,AutoApproved,OTP,True
DON00000023,D001166,dress,formal-dress,M,Gently Worn,Gently Worn,Winter,5,Hyderabad,17.369758073080085,78.45609487884019,2024-07-18 10:36:09,2024-07-23 10:36:09,2024-07-26 10:36:09,NGO00170,ManualApproved,Geo,True
DON00000024,D000020,pants,trousers,L,Gently Worn,Gently Worn,All,75,Chennai,13.055173791030029,80.23999490980215,2024-01-18 16:14:36,2024-01-24 16:14:36,,NGO00091,AutoApproved,QR,True
DON00000025,D001856,dress,casual-dress,L,Used,Dirty,Summer,4,Thane,19.248452571190583,72.99269345004352,2025-02-11 03:20:51,2025-02-18 03:20:51,2025-02-22 03:20:51,NGO00246,AutoRejected,Photo,True
DON00000026,D001026,dress,ethnic-dress,L,Gently Worn,Torn,Summer,6,Jaipur,26.926899059303963,75.78411380442944,2025-02-25 22:44:20,2025-03-01 22:44:20,2025-03-06 22:44:20,NGO00113,AutoRejected,,False
DON00000027,D001307,pants,track-pants,M,Gently Worn,Gently Worn,Winter,22,Kanpur,26.431870896578438,80.32545587222536,2025-02-18 02:26:24,2025-02-25 02:26:24,2025-02-28 02:26:24,NGO00481,ManualApproved,OTP,True
DON00000028,D000874,pants,trousers,S,New,New,All,1,Lucknow,26.87842280331032,80.94927772030827,2025-01-02 05:56:47,2025-01-04 05:56:47,2025-01-05 05:56:47,NGO00088,AutoApproved,,True
DON00000029,D000212,saree,synthetic-saree,L,Used,Torn,Winter,1,Nagpur,21.120656877373555,79.10060589207724,2024-03-31 10:55:56,,,,AutoRejected,,False
DON00000030,D000521,footwear,shoes,M,New,New,Winter,2,Thane,19.16886211191663,73.02551514967494,2024-08-08 01:37:44,,,,ManualApproved,Geo,True
DON00000031,D001776,shirt,kurta,S,Used,Gently Worn,All,33,Chennai,13.104989745963062,80.22508000760493,2025-07-27 18:40:09,2025-08-01 18:40:09,2025-08-07 18:40:09,NGO00158,AutoApproved,QR,True
DON00000032,D000093,footwear,slippers,S,Used,Torn,Winter,1,Nagpur,21.1028288263827,79.0744131738552,2025-01-13 13:18:19,2025-01-21 13:18:19,2025-01-26 13:18:19,NGO00206,AutoRejected,QR,True
DON00000033,D000437,footwear,slippers,M,Gently Worn,Gently Worn,All,4,Delhi,28.64152264819776,77.16352680479513,2024-02-25 04:29:31,2024-02-28 04:29:31,2024-03-03 04:29:31,NGO00202,AutoApproved,,True
DON00000034,D001020,dress,formal-dress,Free,Gently Worn,Gently Worn,Winter,10,Chennai,13.060883244015299,80.27200043943901,2025-08-15 19:02:14,2025-08-18 19:02:14,2025-08-23 19:02:14,NGO00492,AutoApproved,Geo,True
DON00000035,D000559,footwear,boots,XL,Gently Worn,Dirty,Winter,8,Kanpur,26.425304210053824,80.355443256318,2025-09-16 05:50:46,2025-09-23 05:50:46,2025-09-29 05:50:46,NGO00363,AutoRejected,QR,True
DON00000036,D000292,dress,ethnic-dress,M,Used,Used,Winter,4,Hyderabad,17.398276019918324,78.5114967360641,2024-08-23 14:58:19,2024-08-26 14:58:19,2024-08-27 14:58:19,NGO00241,ManualApproved,QR,False
DON00000037,D001940,dress,formal-dress,S,Used,Dirty,Summer,4,Lucknow,26.867122945553294,80.99166600831228,2023-12-31 05:41:55,2024-01-09 05:41:55,2024-01-15 05:41:55,NGO00231,AutoRejected,QR,True
DON00000038,D001297,jacket,cardigan,S,New,New,All,35,Thane,19.24867798322608,72.9842287420742,2024-01-25 19:14:51,,,,ManualApproved,,True
DON00000039,D000037,dress,ethnic-dress,L,Gently Worn,Gently Worn,Winter,2,Thane,19.196839139533253,72.95741692376632,2025-03-30 19:51:54,,,,AutoApproved,NGOReceipt,
DON00000040,D000292,pants,track-pants,S,Gently Worn,Used,Winter,5,Hyderabad,17.367980897725246,78.49734176009939,2025-04-12 09:39:34,,,,AutoApproved,Photo,
DON00000041,D001833,blanket,woolen-blanket,L,Gently Worn,Used,Summer,6,Lucknow,26.880510672588247,80.93094647315974,2025-05-06 21:28:11,2025-05-11 21:28:11,2025-05-14 21:28:11,NGO00033,AutoApproved,Photo,False
DON00000042,D001578,pants,track-pants,Free,Gently Worn,Gently Worn,All,7,Chennai,13.079021588373047,80.242185376895,2024-11-07 17:43:16,2024-11-16 17:43:16,,NGO00005,AutoApproved,Photo,True
DON00000043,D001841,shirt,polo,L,New,New,All,47,Indore,22.672201064812732,75.8984063387018,2024-03-22 11:50:06,2024-03-26 11:50:06,2024-04-01 11:50:06,NGO00247,AutoApproved,OTP,True
DON00000044,D000313,saree,cotton-saree,M,Used,Dirty,All,6,Ahmedabad,23.025148006170475,72.55671180343832,2025-07-17 15:24:45,2025-07-22 15:24:45,2025-07-26 15:24:45,NGO00313,AutoRejected,,True
DON00000045,D001570,dress,formal-dress,M,Used,Used,Summer,7,Ahmedabad,23.051288421130845,72.58667142427622,2024-07-12 20:53:10,,,,ManualApproved,Photo,False
DON00000046,D001645,footwear,slippers,XL,Used,Used,Summer,5,Mumbai,19.10447900866058,72.88986847428599,2025-04-01 15:41:09,2025-04-02 15:41:09,2025-04-04 15:41:09,NGO00262,AutoApproved,NGOReceipt,False
DON00000047,D000665,dress,casual-dress,XL,Used,Dirty,All,3,Chennai,13.033427025069285,80.26864914263578,2023-10-17 09:30:46,,,,AutoRejected,Geo,True
DON00000048,D000147,footwear,slippers,M,Gently Worn,Gently Worn,Winter,1,Bengaluru,13.02042757732946,77.57434303949238,2023-11-25 01:33:08,,,,AutoApproved,Geo,True
DON00000049,D000056,pants,track-pants,M,Used,Used,Winter,8,Ahmedabad,23.068396440612023,72.59104222720566,2024-06-13 04:44:57,2024-06-20 04:44:57,,NGO00351,AutoApproved,OTP,False
DON00000050,D001190,saree,cotton-saree,S,Gently Worn,Gently Worn,Winter,1,Pune,18.47229366809145,73.84151778006525,2023-12-21 07:42:33,2023-12-23 07:42:33,,NGO00065,AutoApproved,NGOReceipt,True
DON00000051,D001527,jacket,blazer,Free,Gently Worn,Gently Worn,Winter,6,Pune,18.50581695530642,73.8872636612342,2024-12-13 05:57:42,2024-12-18 05:57:42,,NGO00352,AutoApproved,,True
DON00000052,D000760,shirt,formal-shirt,XL,New,New,Winter,27,Bhopal,23.302802810303003,77.36556289601319,2025-02-20 09:33:03,2025-02-27 09:33:03,2025-02-28 09:33:03,NGO00001,AutoApproved,,
